\NEOWISESaturationBiasCorrection
\W1NEOWISEReactivation
|w1mpro,|,w1mcorr,|,w1lunc|,w1uunc|
|double,|,double|,double|,double|
|mag,|,mag,|,mag,|,mag,|
w1mpro,w1mcorr,w1lunc,w1uunc
3.115e+00,1.2024e+00,3.6342e-01,3.0213e-01
3.116e+00,1.2021e+00,3.6334e-01,3.0210e-01
3.117e+00,1.2019e+00,3.6326e-01,3.0208e-01
3.118e+00,1.2017e+00,3.6317e-01,3.0206e-01
3.119e+00,1.2015e+00,3.6309e-01,3.0204e-01
3.120e+00,1.2012e+00,3.6300e-01,3.0202e-01
3.121e+00,1.2010e+00,3.6291e-01,3.0200e-01
3.122e+00,1.2008e+00,3.6281e-01,3.0198e-01
3.123e+00,1.2006e+00,3.6272e-01,3.0197e-01
3.124e+00,1.2003e+00,3.6262e-01,3.0196e-01
3.125e+00,1.2001e+00,3.6252e-01,3.0195e-01
3.126e+00,1.1999e+00,3.6242e-01,3.0194e-01
3.127e+00,1.1996e+00,3.6231e-01,3.0193e-01
3.128e+00,1.1994e+00,3.6221e-01,3.0192e-01
3.129e+00,1.1992e+00,3.6210e-01,3.0191e-01
3.130e+00,1.1989e+00,3.6198e-01,3.0191e-01
3.131e+00,1.1987e+00,3.6187e-01,3.0191e-01
3.132e+00,1.1985e+00,3.6175e-01,3.0190e-01
3.133e+00,1.1982e+00,3.6163e-01,3.0190e-01
3.134e+00,1.1980e+00,3.6151e-01,3.0190e-01
3.135e+00,1.1978e+00,3.6139e-01,3.0191e-01
3.136e+00,1.1975e+00,3.6126e-01,3.0191e-01
3.137e+00,1.1973e+00,3.6113e-01,3.0191e-01
3.138e+00,1.1970e+00,3.6100e-01,3.0192e-01
3.139e+00,1.1968e+00,3.6086e-01,3.0193e-01
3.140e+00,1.1966e+00,3.6073e-01,3.0194e-01
3.141e+00,1.1963e+00,3.6059e-01,3.0195e-01
3.142e+00,1.1961e+00,3.6045e-01,3.0196e-01
3.143e+00,1.1958e+00,3.6030e-01,3.0197e-01
3.144e+00,1.1956e+00,3.6015e-01,3.0198e-01
3.145e+00,1.1953e+00,3.6000e-01,3.0200e-01
3.146e+00,1.1951e+00,3.5985e-01,3.0202e-01
3.147e+00,1.1949e+00,3.5970e-01,3.0203e-01
3.148e+00,1.1946e+00,3.5954e-01,3.0205e-01
3.149e+00,1.1944e+00,3.5938e-01,3.0207e-01
3.150e+00,1.1941e+00,3.5922e-01,3.0209e-01
3.151e+00,1.1939e+00,3.5905e-01,3.0212e-01
3.152e+00,1.1936e+00,3.5889e-01,3.0214e-01
3.153e+00,1.1934e+00,3.5872e-01,3.0216e-01
3.154e+00,1.1931e+00,3.5855e-01,3.0219e-01
3.155e+00,1.1929e+00,3.5837e-01,3.0221e-01
3.156e+00,1.1926e+00,3.5820e-01,3.0224e-01
3.157e+00,1.1924e+00,3.5802e-01,3.0227e-01
3.158e+00,1.1921e+00,3.5784e-01,3.0230e-01
3.159e+00,1.1919e+00,3.5766e-01,3.0233e-01
3.160e+00,1.1916e+00,3.5748e-01,3.0236e-01
3.161e+00,1.1914e+00,3.5730e-01,3.0239e-01
3.162e+00,1.1911e+00,3.5711e-01,3.0242e-01
3.163e+00,1.1909e+00,3.5692e-01,3.0245e-01
3.164e+00,1.1906e+00,3.5674e-01,3.0249e-01
3.165e+00,1.1904e+00,3.5655e-01,3.0252e-01
3.166e+00,1.1901e+00,3.5636e-01,3.0255e-01
3.167e+00,1.1899e+00,3.5616e-01,3.0259e-01
3.168e+00,1.1896e+00,3.5597e-01,3.0262e-01
3.169e+00,1.1893e+00,3.5578e-01,3.0266e-01
3.170e+00,1.1891e+00,3.5558e-01,3.0269e-01
3.171e+00,1.1888e+00,3.5539e-01,3.0273e-01
3.172e+00,1.1886e+00,3.5519e-01,3.0277e-01
3.173e+00,1.1883e+00,3.5499e-01,3.0280e-01
3.174e+00,1.1881e+00,3.5479e-01,3.0284e-01
